,recipe_name,recipe_url,author,cuisine,description,rating,total_time,yield,serving_size,ingredient,calories,sugar,sodium,fat,saturated_fat,carbohydrates,fiber,protein,meal
24,"[<h1 class=""entry-title"" itemprop=""headline"">Queso de Nueces de Macadamia</h1>]",https://danzadefogones.com/queso-de-nueces-de-macadamia/,"[<span class=""tasty-recipes-author-name"" data-tasty-recipes-customization=""detail-value-color.color"">Danza de Fogones</span>]","[<span class=""tasty-recipes-cuisine"" data-tasty-recipes-customization=""detail-value-color.color"">Vegana, Sin Gluten</span>]",[<p>Este queso de nueces de macadamia es uno de mis quesos veganos preferidos. Sólo lleva 8 ingredientes y está listo en 10 minutos. ¡Es el aperitivo perfecto!</p>],[],"[<span class=""tasty-recipes-total-time"" data-tasty-recipes-customization=""detail-value-color.color"">10 minutos</span>]","[<span class=""tasty-recipes-yield"" data-tasty-recipes-customization=""detail-value-color.color""><span data-amount=""8"">8</span>–<span data-amount=""16"">16</span> <span class=""tasty-recipes-yield-scale""><span data-amount=""1"">1</span>x</span></span>]","[<span class=""tasty-recipes-serving-size"" data-tasty-recipes-customization=""body-color.color"">1/16 de la receta</span>]","[<li><span data-amount=""1"">1</span> y 1/2 tazas de nueces de macadamia (<span data-amount=""210"" data-unit=""g"">210 g</span>)</li>, <li><span data-amount=""0.25"">1/4</span> taza de levadura nutricional o de cerveza (<span data-amount=""4"">4</span> cucharadas)</li>, <li><span data-amount=""0.25"">1/4</span> taza de agua (<span data-amount=""65"">65</span> ml)</li>, <li><span data-amount=""2"">2</span> cucharadas de zumo de limón</li>, <li><span data-amount=""1"">1</span> cucharada de miso</li>, <li><span data-amount=""1"">1</span> cucharadita de cebolla en polvo</li>, <li><span data-amount=""1"">1</span> cucharadita de ajo en polvo</li>, <li><span data-amount=""0.5"">1/2</span> cucharadita de sal</li>]","[<span class=""tasty-recipes-calories"" data-tasty-recipes-customization=""body-color.color"">113</span>]","[<span class=""tasty-recipes-sugar"" data-tasty-recipes-customization=""body-color.color"">1,3 g</span>]","[<span class=""tasty-recipes-sodium"" data-tasty-recipes-customization=""body-color.color"">117 mg</span>]","[<span class=""tasty-recipes-fat"" data-tasty-recipes-customization=""body-color.color"">10,3 g</span>]","[<span class=""tasty-recipes-saturated-fat"" data-tasty-recipes-customization=""body-color.color"">1,6 g</span>]","[<span class=""tasty-recipes-carbohydrates"" data-tasty-recipes-customization=""body-color.color"">3,9 g</span>]","[<span class=""tasty-recipes-fiber"" data-tasty-recipes-customization=""body-color.color"">2 g</span>]","[<span class=""tasty-recipes-protein"" data-tasty-recipes-customization=""body-color.color"">3 g</span>]",snack
25,[],https://danzadefogones.com/politica-de-privacidad/,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],snack
26,"[<h1 class=""entry-title"" itemprop=""headline"">Crepes de Garbanzo</h1>]",https://danzadefogones.com/crepes-de-garbanzo/,"[<span class=""tasty-recipes-author-name"" data-tasty-recipes-customization=""detail-value-color.color"">Danza de Fogones</span>]","[<span class=""tasty-recipes-cuisine"" data-tasty-recipes-customization=""detail-value-color.color"">Vegana, Sin Gluten</span>]",[<p>Los crepes de garbanzo son una alternativa sin gluten a los crepes tradicionales y son perfectos para usar rellenos salados. ¡Sólo necesitas 4 ingredientes!</p>],"[<span class=""average"">4.8</span>]","[<span class=""tasty-recipes-total-time"" data-tasty-recipes-customization=""detail-value-color.color"">20 minutos</span>]","[<span class=""tasty-recipes-yield"" data-tasty-recipes-customization=""detail-value-color.color""><span data-amount=""6"">6</span> ó 7 crepes <span class=""tasty-recipes-yield-scale""><span data-amount=""1"">1</span>x</span></span>]","[<span class=""tasty-recipes-serving-size"" data-tasty-recipes-customization=""body-color.color"">1 crepe de 6 (sin toppings)</span>]","[<li><span data-amount=""1"">1</span> taza de harina de garbanzo (<span data-amount=""130"" data-unit=""g"">130 g</span>)</li>, <li><span data-amount=""1"">1</span> y 1/4 tazas de agua (<span data-amount=""315"">315</span> ml)</li>, <li><span data-amount=""1"">1</span> cucharada de zumo  de limón</li>, <li><span data-amount=""0.5"">1/2</span> cucharadita de sal</li>]","[<span class=""tasty-recipes-calories"" data-tasty-recipes-customization=""body-color.color"">79</span>]","[<span class=""tasty-recipes-sugar"" data-tasty-recipes-customization=""body-color.color"">2,4 g</span>]","[<span class=""tasty-recipes-sodium"" data-tasty-recipes-customization=""body-color.color"">200 mg</span>]","[<span class=""tasty-recipes-fat"" data-tasty-recipes-customization=""body-color.color"">1,3 g</span>]","[<span class=""tasty-recipes-saturated-fat"" data-tasty-recipes-customization=""body-color.color"">0,2 g</span>]","[<span class=""tasty-recipes-carbohydrates"" data-tasty-recipes-customization=""body-color.color"">13,2 g</span>]","[<span class=""tasty-recipes-fiber"" data-tasty-recipes-customization=""body-color.color"">3,8 g</span>]","[<span class=""tasty-recipes-protein"" data-tasty-recipes-customization=""body-color.color"">4,2 g</span>]",snack
27,"[<h1 class=""entry-title"" itemprop=""headline"">Palitos de Calabacín al Horno</h1>]",https://danzadefogones.com/palitos-de-calabacin-al-horno/,"[<span class=""tasty-recipes-author-name"" data-tasty-recipes-customization=""detail-value-color.color"">Danza de Fogones</span>]","[<span class=""tasty-recipes-cuisine"" data-tasty-recipes-customization=""detail-value-color.color"">Vegana, Sin Gluten</span>]","[<p>Los palitos de calabacín al horno son un delicioso entrante o snack servidos con hummus o cualquier salsa, aunque también se pueden tomar como guarnición.</p>]","[<span class=""average"">4</span>]","[<span class=""tasty-recipes-total-time"" data-tasty-recipes-customization=""detail-value-color.color"">40 minutos</span>]","[<span class=""tasty-recipes-yield"" data-tasty-recipes-customization=""detail-value-color.color""><span data-amount=""4"">4</span>–<span data-amount=""8"">8</span> <span class=""tasty-recipes-yield-scale""><span data-amount=""1"">1</span>x</span></span>]","[<span class=""tasty-recipes-serving-size"" data-tasty-recipes-customization=""body-color.color"">1/8 de la receta</span>]","[<li><span data-amount=""2"">2</span> calabacines grandes</li>, <li><a href=""https://danzadefogones.com/queso-parmesano-vegano/"" rel=""noopener"" target=""_blank"">Queso Parmesano vegano</a> (toda la cantidad que sale de hacer nuestra receta)</li>, <li><span data-amount=""0.25"">1/4</span> taza de orégano seco (<span data-amount=""4"">4</span> cucharadas)</li>, <li><span data-amount=""0.25"">1/4</span> taza de <a href=""https://danzadefogones.com/9-recetas-de-leches-vegetales/"" rel=""noopener"" target=""_blank"">leche vegetal</a> (<span data-amount=""65"">65</span> ml ó <span data-amount=""4"">4</span> cucharadas), yo usé <a href=""https://danzadefogones.com/leche-de-soja/"" rel=""noopener"" target=""_blank"">leche de soja</a></li>, <li><span data-amount=""1"">1</span> cucharadita de pimienta negra molida</li>]","[<span class=""tasty-recipes-calories"" data-tasty-recipes-customization=""body-color.color"">168</span>]","[<span class=""tasty-recipes-sugar"" data-tasty-recipes-customization=""body-color.color"">2 g</span>]","[<span class=""tasty-recipes-sodium"" data-tasty-recipes-customization=""body-color.color"">250 mg</span>]","[<span class=""tasty-recipes-fat"" data-tasty-recipes-customization=""body-color.color"">9,3 g</span>]","[<span class=""tasty-recipes-saturated-fat"" data-tasty-recipes-customization=""body-color.color"">1,5 g</span>]","[<span class=""tasty-recipes-carbohydrates"" data-tasty-recipes-customization=""body-color.color"">14,4 g</span>]","[<span class=""tasty-recipes-fiber"" data-tasty-recipes-customization=""body-color.color"">4,9 g</span>]","[<span class=""tasty-recipes-protein"" data-tasty-recipes-customization=""body-color.color"">9,3 g</span>]",snack
28,"[<h1 class=""entry-title"" itemprop=""headline"">Helado Suave o Soft Serve Vegano</h1>]",https://danzadefogones.com/helado-suave-o-soft-serve-vegano/,"[<span class=""tasty-recipes-author-name"" data-tasty-recipes-customization=""detail-value-color.color"">Danza de Fogones</span>]","[<span class=""tasty-recipes-cuisine"" data-tasty-recipes-customization=""detail-value-color.color"">Vegana, Sin Gluten, Americana</span>]",[<p>Este helado o soft serve vegano está hecho con 5 ingredientes sencillos y endulzado con dátiles. Es una versión vegana y saludable de la receta original.</p>],"[<span class=""average"">5</span>]","[<span class=""tasty-recipes-total-time"" data-tasty-recipes-customization=""detail-value-color.color"">10 minutos</span>]","[<span class=""tasty-recipes-yield"" data-tasty-recipes-customization=""detail-value-color.color""><span data-amount=""2"">2</span> <span class=""tasty-recipes-yield-scale""><span data-amount=""1"">1</span>x</span></span>]","[<span class=""tasty-recipes-serving-size"" data-tasty-recipes-customization=""body-color.color"">1/2 de la receta (sin toppings)</span>]","[<li><span data-amount=""0.25"">1/4</span> taza leche de coco (<span data-amount=""65"">65</span> ml)</li>, <li><span data-amount=""2"">2</span> cucharadas de <a href=""https://danzadefogones.com/mantequilla-de-cacahuete-o-de-mani-casera/"" rel=""noopener"" target=""_blank"">mantequilla de cacahuete</a></li>, <li><span data-amount=""2"">2</span> plátanos congelados</li>, <li><span data-amount=""2"">2</span> dátiles Medjool, sin el hueso</li>, <li><span data-amount=""0.5"">1/2</span> cucharadita de <a href=""https://danzadefogones.com/extracto-de-vainilla-casero/"" rel=""noopener"" target=""_blank"">extracto de vainilla</a> (opcional)</li>]","[<span class=""tasty-recipes-calories"" data-tasty-recipes-customization=""body-color.color"">283</span>]","[<span class=""tasty-recipes-sugar"" data-tasty-recipes-customization=""body-color.color"">32,1 g</span>]","[<span class=""tasty-recipes-sodium"" data-tasty-recipes-customization=""body-color.color"">77 mg</span>]","[<span class=""tasty-recipes-fat"" data-tasty-recipes-customization=""body-color.color"">10 g</span>]","[<span class=""tasty-recipes-saturated-fat"" data-tasty-recipes-customization=""body-color.color"">3,2 g</span>]","[<span class=""tasty-recipes-carbohydrates"" data-tasty-recipes-customization=""body-color.color"">48,5 g</span>]","[<span class=""tasty-recipes-fiber"" data-tasty-recipes-customization=""body-color.color"">5,6 g</span>]","[<span class=""tasty-recipes-protein"" data-tasty-recipes-customization=""body-color.color"">5,9 g</span>]",snack
29,"[<h1 class=""entry-title"" itemprop=""headline"">Cómo Hacer Sorbete de Frutas</h1>]",https://danzadefogones.com/como-hacer-sorbete-de-frutas/,"[<span class=""tasty-recipes-author-name"" data-tasty-recipes-customization=""detail-value-color.color"">Danza de Fogones</span>]",[],"[<p>Cómo hacer sorbete de frutas en casa con tan sólo 4 ingredientes: fruta fresca, agua, dátiles o tu endulzante preferido y zumo de limón.</p>]","[<span class=""average"">5</span>]","[<span class=""tasty-recipes-total-time"" data-tasty-recipes-customization=""detail-value-color.color"">35 minutos</span>]","[<span class=""tasty-recipes-yield"" data-tasty-recipes-customization=""detail-value-color.color""><span data-amount=""8"">8</span>-<span data-amount=""10"">10</span> <span class=""tasty-recipes-yield-scale""><span data-amount=""1"">1</span>x</span></span>]","[<span class=""tasty-recipes-serving-size"" data-tasty-recipes-customization=""body-color.color"">1/10 de la receta</span>]","[<li><span data-amount=""1"">1</span> kilo de fruta fresca troceada (<span data-amount=""2"">2</span> libras), yo usé mango</li>, <li><span data-amount=""1"">1</span> taza de agua (<span data-amount=""250"">250</span> ml)</li>, <li><span data-amount=""4"">4</span> dátiles Medjool</li>, <li><span data-amount=""1"">1</span> cucharada de zumo de limón</li>]","[<span class=""tasty-recipes-calories"" data-tasty-recipes-customization=""body-color.color"">81</span>]","[<span class=""tasty-recipes-sugar"" data-tasty-recipes-customization=""body-color.color"">18,8 g</span>]","[<span class=""tasty-recipes-sodium"" data-tasty-recipes-customization=""body-color.color"">1 mg</span>]","[<span class=""tasty-recipes-fat"" data-tasty-recipes-customization=""body-color.color"">0,4 g</span>]","[<span class=""tasty-recipes-saturated-fat"" data-tasty-recipes-customization=""body-color.color"">0,1 g</span>]","[<span class=""tasty-recipes-carbohydrates"" data-tasty-recipes-customization=""body-color.color"">20,8 g</span>]","[<span class=""tasty-recipes-fiber"" data-tasty-recipes-customization=""body-color.color"">2,1 g</span>]","[<span class=""tasty-recipes-protein"" data-tasty-recipes-customization=""body-color.color"">0,9 g</span>]",snack
30,"[<h1 class=""entry-title"" itemprop=""headline"">Cómo Hacer Pan con Tomate</h1>]",https://danzadefogones.com/como-hacer-pan-con-tomate/,"[<span class=""tasty-recipes-author-name"" data-tasty-recipes-customization=""detail-value-color.color"">Danza de Fogones</span>]","[<span class=""tasty-recipes-cuisine"" data-tasty-recipes-customization=""detail-value-color.color"">Vegana, Española</span>]","[<p>Cómo preparar pan con tomate, uno de los desayunos más típicos de España. Es una receta rápida, sencilla y que está para chuparse los dedos.</p>]","[<span class=""average"">4.8</span>]","[<span class=""tasty-recipes-total-time"" data-tasty-recipes-customization=""detail-value-color.color"">15 minutos</span>]","[<span class=""tasty-recipes-yield"" data-tasty-recipes-customization=""detail-value-color.color""><span data-amount=""4"">4</span> <span class=""tasty-recipes-yield-scale""><span data-amount=""1"">1</span>x</span></span>]","[<span class=""tasty-recipes-serving-size"" data-tasty-recipes-customization=""body-color.color"">1 rebanada</span>]","[<li><span data-amount=""4"">4</span> rebanadas de pan integral</li>, <li><span data-amount=""1"">1</span> diente de ajo, pelado</li>, <li><span data-amount=""2"">2</span> tomates en rama</li>, <li><span data-amount=""0.25"">1/4</span> cucharadita de sal</li>, <li>Aceite de oliva virgen extra al gusto (opcional)</li>, <li>Perejil picado para decorar (opcional)</li>]","[<span class=""tasty-recipes-calories"" data-tasty-recipes-customization=""body-color.color"">90</span>]","[<span class=""tasty-recipes-sugar"" data-tasty-recipes-customization=""body-color.color"">3,2 g</span>]","[<span class=""tasty-recipes-sodium"" data-tasty-recipes-customization=""body-color.color"">282 mg</span>]","[<span class=""tasty-recipes-fat"" data-tasty-recipes-customization=""body-color.color"">2,2 g</span>]","[<span class=""tasty-recipes-saturated-fat"" data-tasty-recipes-customization=""body-color.color"">0,4 g</span>]","[<span class=""tasty-recipes-carbohydrates"" data-tasty-recipes-customization=""body-color.color"">14 g</span>]","[<span class=""tasty-recipes-fiber"" data-tasty-recipes-customization=""body-color.color"">2,6 g</span>]","[<span class=""tasty-recipes-protein"" data-tasty-recipes-customization=""body-color.color"">4,2 g</span>]",snack
31,"[<h1 class=""entry-title"" itemprop=""headline"">Pakoras de Verduras</h1>]",https://danzadefogones.com/pakoras-de-verduras/,"[<span class=""tasty-recipes-author-name"" data-tasty-recipes-customization=""detail-value-color.color"">Danza de Fogones</span>]","[<span class=""tasty-recipes-cuisine"" data-tasty-recipes-customization=""detail-value-color.color"">Vegana, Sin Gluten, India</span>]","[<p>Estas pakoras de verduras se preparan en 30 minutos con ingredientes fáciles de conseguir. Es un aperitivo típico de la cocina india, que está delicioso.</p>]","[<span class=""average"">4.7</span>]","[<span class=""tasty-recipes-total-time"" data-tasty-recipes-customization=""detail-value-color.color"">30 minutos</span>]","[<span class=""tasty-recipes-yield"" data-tasty-recipes-customization=""detail-value-color.color""><span data-amount=""4"">4</span>-<span data-amount=""6"">6</span> <span class=""tasty-recipes-yield-scale""><span data-amount=""1"">1</span>x</span></span>]","[<span class=""tasty-recipes-serving-size"" data-tasty-recipes-customization=""body-color.color"">1/6 de la receta (usando unas 2 cucharadas de aceite)</span>]","[<li><span data-amount=""1"">1</span> cebolla morada</li>, <li><span data-amount=""1"">1</span> pimiento verde grande ó 2 pequeños</li>, <li><span data-amount=""3"">3</span> patatas pequeñas (<span data-amount=""400"" data-unit=""g"">400 g</span> ó <span data-amount=""14"" data-unit=""oz"">14 oz</span>), crudas</li>, <li><span data-amount=""1"">1</span> puñado de cilantro fresco, troceado</li>, <li><span data-amount=""1"">1</span> cucharada de <a href=""https://danzadefogones.com/como-hacer-garam-masala/"" rel=""noopener"" target=""_blank"">garam masala</a></li>, <li><span data-amount=""0.5"">1/2</span> cucharadita de cúrcuma en polvo</li>, <li><span data-amount=""0.5"">1/2</span> cucharadita de comino en polvo</li>, <li><span data-amount=""0.5"">1/2</span> cucharadita de sal</li>, <li><span data-amount=""0.125"">1/8</span> cucharadita de cayena molida (opcional)</li>, <li><span data-amount=""0.75"">3/4</span> taza de harina de garbanzo (<span data-amount=""90"" data-unit=""g"">90 g</span>)</li>, <li><span data-amount=""0.5"">1/2</span> taza de agua (<span data-amount=""125"">125</span> ml)</li>, <li>Aceite de oliva virgen extra al gusto</li>]","[<span class=""tasty-recipes-calories"" data-tasty-recipes-customization=""body-color.color"">199</span>]","[<span class=""tasty-recipes-sugar"" data-tasty-recipes-customization=""body-color.color"">5,1 g</span>]","[<span class=""tasty-recipes-sodium"" data-tasty-recipes-customization=""body-color.color"">490 mg</span>]","[<span class=""tasty-recipes-fat"" data-tasty-recipes-customization=""body-color.color"">6,3 g</span>]","[<span class=""tasty-recipes-saturated-fat"" data-tasty-recipes-customization=""body-color.color"">0,8 g</span>]","[<span class=""tasty-recipes-carbohydrates"" data-tasty-recipes-customization=""body-color.color"">29,9 g</span>]","[<span class=""tasty-recipes-fiber"" data-tasty-recipes-customization=""body-color.color"">5,8 g</span>]","[<span class=""tasty-recipes-protein"" data-tasty-recipes-customization=""body-color.color"">6,6 g</span>]",snack
32,"[<h1 class=""entry-title"" itemprop=""headline"">Chutney Verde</h1>]",https://danzadefogones.com/chutney-verde/,"[<span class=""tasty-recipes-author-name"" data-tasty-recipes-customization=""detail-value-color.color"">Danza de Fogones</span>]","[<span class=""tasty-recipes-cuisine"" data-tasty-recipes-customization=""detail-value-color.color"">Vegana, Sin Gluten, India</span>]","[<p>El chutney verde es una salsa típica de la gastronomía india, perfecta para acompañar cualquier receta de esta cocina o como aperitivo.</p>]","[<span class=""average"">4.5</span>]","[<span class=""tasty-recipes-total-time"" data-tasty-recipes-customization=""detail-value-color.color"">5 minutos</span>]","[<span class=""tasty-recipes-yield"" data-tasty-recipes-customization=""detail-value-color.color""><span data-amount=""1"">1</span> taza (16 cucharadas) aproximadamente <span class=""tasty-recipes-yield-scale""><span data-amount=""1"">1</span>x</span></span>]","[<span class=""tasty-recipes-serving-size"" data-tasty-recipes-customization=""body-color.color"">1 cucharada</span>]","[<li><span data-amount=""2"">2</span> tazas de cilantro fresco troceado (<span data-amount=""25"" data-unit=""g"">25 g</span>)</li>, <li><span data-amount=""1"">1</span> taza de menta o hierbabuena fresca troceada (<span data-amount=""12"" data-unit=""g"">12 g</span>)</li>, <li><span data-amount=""2"">2</span> dientes de ajo</li>, <li>Un trozo de jengibre de 2,5 cm (1 pulgada)</li>, <li><span data-amount=""0.25"">1/4</span> taza de agua (<span data-amount=""65"">65</span> ml)</li>, <li><span data-amount=""2"">2</span> cucharadas de zumo de limón</li>, <li><span data-amount=""2"">2</span> cucharadas de <a href=""https://danzadefogones.com/como-hacer-tahini/"" rel=""noopener"" target=""_blank"">tahini</a></li>, <li><span data-amount=""0.5"">1/2</span> cucharadita de comino molido</li>, <li><span data-amount=""0.5"">1/2</span> cucharadita de sal</li>, <li><span data-amount=""0.125"">1/8</span> cucharadita de cayena en polvo (opcional)</li>]","[<span class=""tasty-recipes-calories"" data-tasty-recipes-customization=""body-color.color"">13</span>]","[<span class=""tasty-recipes-sugar"" data-tasty-recipes-customization=""body-color.color"">0,1 g</span>]","[<span class=""tasty-recipes-sodium"" data-tasty-recipes-customization=""body-color.color"">77 mg</span>]","[<span class=""tasty-recipes-fat"" data-tasty-recipes-customization=""body-color.color"">1,1 g</span>]","[<span class=""tasty-recipes-saturated-fat"" data-tasty-recipes-customization=""body-color.color"">0,2 g</span>]","[<span class=""tasty-recipes-carbohydrates"" data-tasty-recipes-customization=""body-color.color"">0,8 g</span>]","[<span class=""tasty-recipes-fiber"" data-tasty-recipes-customization=""body-color.color"">0,3 g</span>]","[<span class=""tasty-recipes-protein"" data-tasty-recipes-customization=""body-color.color"">0,4 g</span>]",snack
33,"[<h1 class=""entry-title"" itemprop=""headline"">Boquerones en Vinagre Veganos</h1>]",https://danzadefogones.com/boquerones-en-vinagre-veganos/,"[<span class=""tasty-recipes-author-name"" data-tasty-recipes-customization=""detail-value-color.color"">Danza de Fogones</span>]","[<span class=""tasty-recipes-cuisine"" data-tasty-recipes-customization=""detail-value-color.color"">Vegana, Sin Gluten</span>]",[<p>Preparar boquerones en vinagre veganos es muy sencillo. Sólo hay que sustituir los boquerones por calabacín y añadir alga nori para darle sabor a mar.</p>],"[<span class=""average"">5</span>]","[<span class=""tasty-recipes-total-time"" data-tasty-recipes-customization=""detail-value-color.color"">20 minutos</span>]","[<span class=""tasty-recipes-yield"" data-tasty-recipes-customization=""detail-value-color.color""><span data-amount=""2"">2</span>-<span data-amount=""4"">4</span> <span class=""tasty-recipes-yield-scale""><span data-amount=""1"">1</span>x</span></span>]","[<span class=""tasty-recipes-serving-size"" data-tasty-recipes-customization=""body-color.color"">1/4 de la receta (usando 1 cucharada de aceite)</span>]","[<li><span data-amount=""1"">1</span> calabacín grande (<span data-amount=""400"" data-unit=""g"">400 g</span> ó <span data-amount=""14"" data-unit=""oz"">14 oz</span>)</li>, <li><span data-amount=""1"">1</span> hoja de alga nori ó 2 cucharadas de nori en copos (opcional)</li>, <li><span data-amount=""1"">1</span> cucharadita de sal</li>, <li><span data-amount=""0.75"">3/4</span> taza de vinagre de manzana (<span data-amount=""200"">200</span> ml)</li>, <li><span data-amount=""0.25"">1/4</span> taza de agua (<span data-amount=""65"">65</span> ml)</li>, <li><span data-amount=""2"">2</span> dientes de ajo, troceados</li>, <li><span data-amount=""2"">2</span> cucharadas de perejil fresco troceado</li>, <li><span data-amount=""1"">1</span> ó 2 cucharadas de aceite de oliva virgen extra</li>]","[<span class=""tasty-recipes-calories"" data-tasty-recipes-customization=""body-color.color"">61</span>]","[<span class=""tasty-recipes-sugar"" data-tasty-recipes-customization=""body-color.color"">1,9 g</span>]","[<span class=""tasty-recipes-sodium"" data-tasty-recipes-customization=""body-color.color"">596 mg</span>]","[<span class=""tasty-recipes-fat"" data-tasty-recipes-customization=""body-color.color"">3,7 g</span>]","[<span class=""tasty-recipes-saturated-fat"" data-tasty-recipes-customization=""body-color.color"">0,5 g</span>]","[<span class=""tasty-recipes-carbohydrates"" data-tasty-recipes-customization=""body-color.color"">4,4 g</span>]","[<span class=""tasty-recipes-fiber"" data-tasty-recipes-customization=""body-color.color"">1,4 g</span>]","[<span class=""tasty-recipes-protein"" data-tasty-recipes-customization=""body-color.color"">1,6 g</span>]",snack
34,"[<h1 class=""entry-title"" itemprop=""headline"">Brochetas de Verduras</h1>]",https://danzadefogones.com/brochetas-de-verduras/,"[<span class=""tasty-recipes-author-name"" data-tasty-recipes-customization=""detail-value-color.color"">Danza de Fogones</span>]","[<span class=""tasty-recipes-cuisine"" data-tasty-recipes-customization=""detail-value-color.color"">Vegano, Sin Gluten</span>]",[<p>Las brochetas de verduras son perfectas como guarnición en barbacoas o en cualquier momento porque son muy sabrosas y están listas en menos de 30 minutos.</p>],"[<span class=""average"">5</span>]","[<span class=""tasty-recipes-total-time"" data-tasty-recipes-customization=""detail-value-color.color"">25 minutos</span>]","[<span class=""tasty-recipes-yield"" data-tasty-recipes-customization=""detail-value-color.color""><span data-amount=""8"">8</span> brochetas <span class=""tasty-recipes-yield-scale""><span data-amount=""1"">1</span>x</span></span>]","[<span class=""tasty-recipes-serving-size"" data-tasty-recipes-customization=""body-color.color"">1 brocheta (sin aceite, ni cebollino)</span>]","[<li><span data-amount=""1"">1</span> cebolla morada</li>, <li><span data-amount=""1"">1</span> calabacín</li>, <li><span data-amount=""1"">1</span> pimiento amarillo</li>, <li><span data-amount=""16"">16</span> champiñones, descarta el tallo o pie</li>, <li><span data-amount=""16"">16</span> tomates cherry</li>, <li>Aceite de oliva virgen extra al gusto (opcional)</li>, <li>Sal al gusto</li>, <li>Pimienta negra molida al gusto</li>, <li>Cebollino picado para decorar (opcional)</li>]","[<span class=""tasty-recipes-calories"" data-tasty-recipes-customization=""body-color.color"">66</span>]","[<span class=""tasty-recipes-sugar"" data-tasty-recipes-customization=""body-color.color"">8,8 g</span>]","[<span class=""tasty-recipes-sodium"" data-tasty-recipes-customization=""body-color.color"">76 mg</span>]","[<span class=""tasty-recipes-fat"" data-tasty-recipes-customization=""body-color.color"">0,7 g</span>]","[<span class=""tasty-recipes-saturated-fat"" data-tasty-recipes-customization=""body-color.color"">0,1 g</span>]","[<span class=""tasty-recipes-carbohydrates"" data-tasty-recipes-customization=""body-color.color"">14 g</span>]","[<span class=""tasty-recipes-fiber"" data-tasty-recipes-customization=""body-color.color"">4,1 g</span>]","[<span class=""tasty-recipes-protein"" data-tasty-recipes-customization=""body-color.color"">3,9 g</span>]",snack
35,"[<h1 class=""entry-title"" itemprop=""headline"">Dip de Guacamole</h1>]",https://danzadefogones.com/dip-de-guacamole/,"[<span class=""tasty-recipes-author-name"" data-tasty-recipes-customization=""detail-value-color.color"">Danza de Fogones</span>]",[],"[<p>Para preparar este dip de guacamole sólo se necesitan 6 ingredientes, está listo en 5 minutos y puedes servirlo con nachos o crudités.</p>]","[<span class=""average"">5</span>]","[<span class=""tasty-recipes-total-time"" data-tasty-recipes-customization=""detail-value-color.color"">5 minutos</span>]","[<span class=""tasty-recipes-yield"" data-tasty-recipes-customization=""detail-value-color.color""><span data-amount=""1"">1</span> taza (16 cucharadas) aproximadamente <span class=""tasty-recipes-yield-scale""><span data-amount=""1"">1</span>x</span></span>]","[<span class=""tasty-recipes-serving-size"" data-tasty-recipes-customization=""body-color.color"">1 cucharada</span>]","[<li><span data-amount=""2"">2</span> aguacates medianos</li>, <li>El zumo de 2 ó 3 limas</li>, <li><span data-amount=""1"">1</span> puñado de cilantro fresco</li>, <li><span data-amount=""0.25"">1/4</span> de cebolla</li>, <li><span data-amount=""1"">1</span> cucharada de jalapeños en conserva, ver notas</li>, <li><span data-amount=""0.25"">1/4</span> cucharadita de sal</li>]","[<span class=""tasty-recipes-calories"" data-tasty-recipes-customization=""body-color.color"">44</span>]","[<span class=""tasty-recipes-sugar"" data-tasty-recipes-customization=""body-color.color"">0,2 g</span>]","[<span class=""tasty-recipes-sodium"" data-tasty-recipes-customization=""body-color.color"">38 mg</span>]","[<span class=""tasty-recipes-fat"" data-tasty-recipes-customization=""body-color.color"">3,9 g</span>]","[<span class=""tasty-recipes-saturated-fat"" data-tasty-recipes-customization=""body-color.color"">0,5 g</span>]","[<span class=""tasty-recipes-carbohydrates"" data-tasty-recipes-customization=""body-color.color"">2,6 g</span>]","[<span class=""tasty-recipes-fiber"" data-tasty-recipes-customization=""body-color.color"">1,8 g</span>]","[<span class=""tasty-recipes-protein"" data-tasty-recipes-customization=""body-color.color"">0,6 g</span>]",snack
